14,14,196,94,0.47959185,87.0,6.0,4
12,18,216,92,0.42592594,94.0,7.0,4
13,18,234,92,0.3931624,102.0,7.0,4
13,17,221,95,0.42986426,100.0,7.0,4
13,17,221,91,0.4117647,104.0,8.0,4
13,17,221,92,0.4162896,103.0,7.0,4
12,17,204,92,0.4509804,93.0,7.0,4
14,17,238,97,0.40756303,112.0,8.0,4
13,16,208,91,0.4375,90.0,6.0,4
13,17,221,95,0.42986426,96.0,7.0,4
13,18,234,100,0.42735043,101.0,7.0,4
13,17,221,94,0.42533937,94.0,7.0,4
13,18,234,86,0.36752138,101.0,7.0,4
12,17,204,89,0.4362745,97.0,8.0,4
13,16,208,92,0.44230768,88.0,6.0,4
12,17,204,89,0.4362745,84.0,7.0,4
13,18,234,93,0.3974359,106.0,8.0,4
14,17,238,91,0.38235295,95.0,6.0,4
12,18,216,89,0.41203704,96.0,8.0,4
12,17,204,85,0.41666666,86.0,7.0,4
13,18,234,89,0.3803419,103.0,7.0,4
13,18,234,86,0.36752138,101.0,7.0,4
13,17,221,90,0.40723982,91.0,7.0,4
13,18,234,96,0.41025642,107.0,8.0,4
13,17,221,90,0.40723982,100.0,7.0,4
12,18,216,83,0.38425925,92.0,7.0,5
13,19,247,85,0.34412956,111.0,8.0,5
12,17,204,85,0.41666666,99.0,8.0,5
11,18,198,83,0.41919193,86.0,7.0,5
14,18,252,90,0.35714287,109.0,7.0,5
14,18,252,83,0.32936507,112.0,8.0,5
13,18,234,90,0.3846154,103.0,7.0,5
12,18,216,86,0.39814815,89.0,7.0,5
12,18,216,87,0.4027778,92.0,7.0,5
12,18,216,87,0.4027778,96.0,8.0,5
14,19,266,84,0.31578946,116.0,8.0,5
13,19,247,88,0.3562753,106.0,8.0,5
13,18,234,84,0.35897437,100.0,7.0,5
14,18,252,91,0.3611111,107.0,7.0,5
13,18,234,87,0.37179488,102.0,7.0,5
15,18,270,89,0.32962963,118.0,7.0,5
14,20,280,82,0.29285714,123.0,8.0,5
14,19,266,81,0.30451128,115.0,8.0,5
13,18,234,83,0.35470086,102.0,7.0,5
14,18,252,94,0.37301588,107.0,7.0,5
14,19,266,92,0.34586465,119.0,8.0,5
11,18,198,84,0.42424244,87.0,7.0,5
14,19,266,84,0.31578946,115.0,8.0,5
14,19,266,80,0.30075186,115.0,8.0,5
12,18,216,88,0.4074074,92.0,7.0,5
11,19,209,88,0.42105263,87.0,7.0,5
14,18,252,112,0.44444445,119.0,8.0,6
14,18,252,109,0.43253967,121.0,8.0,6
14,17,238,107,0.44957983,103.0,7.0,6
14,18,252,105,0.41666666,112.0,8.0,6
13,18,234,103,0.44017094,104.0,8.0,6
13,16,208,101,0.48557693,100.0,7.0,6
14,18,252,104,0.41269842,118.0,8.0,6
14,18,252,106,0.42063493,117.0,8.0,6
15,18,270,110,0.4074074,117.0,7.0,6
13,18,234,118,0.50427353,104.0,8.0,6
15,18,270,117,0.43333334,133.0,8.0,6
14,18,252,105,0.41666666,123.0,8.0,6
15,18,270,112,0.4148148,127.0,8.0,6
13,17,221,104,0.47058824,100.0,7.0,6
14,17,238,101,0.42436975,103.0,7.0,6
15,17,255,110,0.43137255,114.0,7.0,6
15,18,270,110,0.4074074,117.0,7.0,6
13,18,234,107,0.45726496,103.0,7.0,6
13,18,234,104,0.44444445,105.0,8.0,6
14,17,238,108,0.45378152,111.0,7.0,6
14,17,238,106,0.44537815,104.0,7.0,6
14,18,252,105,0.41666666,118.0,8.0,6
14,18,252,114,0.45238096,118.0,8.0,6
13,18,234,104,0.44444445,105.0,8.0,6
14,18,252,111,0.44047618,122.0,8.0,6
13,18,234,107,0.45726496,107.0,8.0,6
14,18,252,105,0.41666666,110.0,7.0,6
14,18,252,109,0.43253967,119.0,8.0,6
13,18,234,67,0.2863248,80.0,6.0,7
13,18,234,58,0.24786325,80.0,6.0,7
12,18,216,60,0.2777778,70.0,5.0,7
12,19,228,63,0.27631578,80.0,6.0,7
12,18,216,61,0.2824074,79.0,6.0,7
12,17,204,68,0.33333334,77.0,6.0,7
13,17,221,58,0.26244345,87.0,6.0,7
13,17,221,59,0.26696834,78.0,6.0,7
12,18,216,61,0.2824074,70.0,5.0,7
13,18,234,62,0.26495728,83.0,6.0,7
11,18,198,61,0.30808082,67.0,6.0,7
12,17,204,57,0.27941176,73.0,6.0,7
12,18,216,59,0.27314815,66.0,5.0,7
13,18,234,69,0.2948718,75.0,5.0,7
12,18,216,61,0.2824074,74.0,6.0,7
13,18,234,56,0.23931624,87.0,6.0,7
14,16,224,59,0.26339287,88.0,6.0,7
12,18,216,59,0.27314815,74.0,6.0,7
13,19,247,65,0.2631579,91.0,7.0,7
11,19,209,61,0.29186603,71.0,6.0,7
12,18,216,61,0.2824074,72.0,6.0,7
13,18,234,60,0.25641027,89.0,6.0,7
12,18,216,66,0.30555555,70.0,5.0,7
12,18,216,119,0.5509259,99.0,8.0,8
12,18,216,114,0.5277778,97.0,8.0,8
13,18,234,126,0.53846157,106.0,8.0,8
13,17,221,119,0.53846157,102.0,7.0,8
13,18,234,116,0.4957265,104.0,8.0,8
13,18,234,126,0.53846157,109.0,8.0,8
14,18,252,122,0.48412699,116.0,8.0,8
13,18,234,123,0.525641,105.0,8.0,8
14,18,252,121,0.48015872,116.0,8.0,8
12,18,216,121,0.5601852,100.0,8.0,8
13,18,234,126,0.53846157,108.0,8.0,8
14,18,252,122,0.48412699,117.0,8.0,8
